school_code,school_name,course_code,course_name,semester_name,year,teacher_email,title,description,duration_seconds,video_url,thumbnail_url,tags,is_published
ECYS,Escuela de Ciencias y Sistemas,IPC1-2024-1,Introduccion a la Programacion 1,Primer Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 01 - Variables y tipos de dato,Variables y tipos de dato. Grabacion de la clase 1 del curso Introduccion a la Programacion 1.,10,http://localhost:8081/clase-01.mp4?demo=01,,teoria,true
ECYS,Escuela de Ciencias y Sistemas,IPC1-2024-1,Introduccion a la Programacion 1,Primer Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 02 - Estructuras de control,Estructuras de control. Grabacion de la clase 2 del curso Introduccion a la Programacion 1.,10,http://localhost:8081/clase-02.mp4?demo=02,,teoria,true
ECYS,Escuela de Ciencias y Sistemas,IPC1-2024-1,Introduccion a la Programacion 1,Primer Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 03 - Ciclos anidados,Ciclos anidados. Grabacion de la clase 3 del curso Introduccion a la Programacion 1.,10,http://localhost:8081/clase-03.mp4?demo=03,,examen,true
ECYS,Escuela de Ciencias y Sistemas,IPC1-2024-1,Introduccion a la Programacion 1,Primer Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 04 - Funciones y parametros,Funciones y parametros. Grabacion de la clase 4 del curso Introduccion a la Programacion 1.,10,http://localhost:8081/clase-04.mp4?demo=04,,teoria,true
ECYS,Escuela de Ciencias y Sistemas,IPC1-2024-1,Introduccion a la Programacion 1,Primer Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 05 - Arreglos unidimensionales,Arreglos unidimensionales. Grabacion de la clase 5 del curso Introduccion a la Programacion 1.,10,http://localhost:8081/clase-01.mp4?demo=05,,teoria,true
ECYS,Escuela de Ciencias y Sistemas,IPC1-2024-1,Introduccion a la Programacion 1,Primer Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 06 - Matrices,Matrices. Grabacion de la clase 6 del curso Introduccion a la Programacion 1.,10,http://localhost:8081/clase-02.mp4?demo=06,,examen,true
ECYS,Escuela de Ciencias y Sistemas,EDD-2024-2,Estructuras de Datos,Segundo Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 01 - Listas enlazadas simples,Listas enlazadas simples. Grabacion de la clase 1 del curso Estructuras de Datos.,10,http://localhost:8081/clase-03.mp4?demo=07,,teoria,true
ECYS,Escuela de Ciencias y Sistemas,EDD-2024-2,Estructuras de Datos,Segundo Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 02 - Listas doblemente enlazadas,Listas doblemente enlazadas. Grabacion de la clase 2 del curso Estructuras de Datos.,10,http://localhost:8081/clase-04.mp4?demo=08,,teoria,true
ECYS,Escuela de Ciencias y Sistemas,EDD-2024-2,Estructuras de Datos,Segundo Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 03 - Pilas y colas,Pilas y colas. Grabacion de la clase 3 del curso Estructuras de Datos.,10,http://localhost:8081/clase-01.mp4?demo=09,,examen,true
ECYS,Escuela de Ciencias y Sistemas,EDD-2024-2,Estructuras de Datos,Segundo Semestre,2024,catedratico@ingenieria.usac.edu.gt,Clase 04 - Arboles binarios de busqueda,Arboles binarios de busqueda. Grabacion de la clase 4 del curso Estructuras de Datos.,10,http://localhost:8081/clase-02.mp4?demo=10,,teoria,true
